game_id,game_status,home_team,home_id,home_rank,home_record,home_score,away_team,away_id,away_rank,away_record,away_score,home_point_spread,home_win,num_ots,is_conference,is_neutral,is_postseason,tournament,game_day,game_time,game_loc,arena,arena_capacity,attendance,tv_network,referee_1,referee_2,referee_3
401817236,Final,Lipscomb Bisons,288,,6-5,73,Duke Blue Devils,150,3.0,11-0,97,-32.5,False,0,False,False,False,,"December 16, 2025",03:00 PM PST,"Durham, NC",Cameron Indoor Stadium,,9314.0,ACC Network,Justin Porterfield,Eric Lewis,Jeff  Pon
401817237,Final,Texas Tech Red Raiders,2641,19.0,9-3,82,Duke Blue Devils,150,3.0,11-1,81,-9.5,True,0,False,True,False,,"December 20, 2025",05:10 PM PST,"New York, NY",Madison Square Garden,,19812.0,ESPN,Bert Smith,Chuck Jones,Chance Moore
401820636,Final,Georgia Tech Yellow Jackets,59,,9-5,79,Duke Blue Devils,150,6.0,12-1,85,-27.5,False,0,False,False,False,,"December 31, 2025",01:00 PM PST,"Durham, NC",Cameron Indoor Stadium,,9314.0,ACC Network,Ron Groover,Bert Smith,Paul Szelc
401820644,Final,Duke Blue Devils,150,6.0,13-1,91,Florida State Seminoles,52,,7-8,87,+16.5,True,0,False,False,False,,"January 03, 2026",12:45 PM PST,"Tallahassee, FL",Tucker Center,,6097.0,CBS,Justin Porterfield,A.J. Desai,Greg Evans
401820650,Final,Duke Blue Devils,150,6.0,14-1,84,Louisville Cardinals,97,20.0,11-4,73,+1.5,True,0,False,False,False,,"January 06, 2026",04:00 PM PST,"Louisville, KY",KFC Yum! Center,,17656.0,ESPN,Pat Driscoll,John Gaffney,Tony Chiazza
401820657,Final,SMU Mustangs,2567,24.0,12-4,75,Duke Blue Devils,150,6.0,15-1,82,-15.5,False,0,False,False,False,,"January 10, 2026",11:00 AM PST,"Durham, NC",Cameron Indoor Stadium,,9314.0,ESPN,Brian  O'Connell,Roger Ayers,Tommy Morrissey
401820666,Final,Duke Blue Devils,150,6.0,16-1,71,California Golden Bears,25,,13-5,56,+14.5,True,0,False,False,False,,"January 14, 2026",08:10 PM PST,"Berkeley, CA",Haas Pavilion,,11201.0,ACC Network,Michael Irving,Lee Cassell,Tony Padilla
401820681,Final,Duke Blue Devils,150,6.0,17-1,80,Stanford Cardinal,24,,14-5,50,+11.5,True,0,False,False,False,,"January 17, 2026",03:00 PM PST,"Stanford, CA",Maples Pavilion,,7880.0,ACC Network,Bill Covington Jr.,Marques Pettigrew,Jemel Spearman
401820689,Final,Wake Forest Demon Deacons,154,,11-9,69,Duke Blue Devils,150,5.0,18-1,90,-19.5,False,0,False,False,False,,"January 24, 2026",09:00 AM PST,"Durham, NC",Cameron Indoor Stadium,,9314.0,The CW Network,Bert Smith,Tony Padilla,Isaac Barnett
401820698,Final,Louisville Cardinals,97,20.0,14-6,52,Duke Blue Devils,150,4.0,19-1,83,-8.5,False,0,False,False,False,,"January 26, 2026",04:00 PM PST,"Durham, NC",Cameron Indoor Stadium,,9314.0,ESPN,Ron Groover,Roger Ayers,Bill Covington Jr.
