game_id,game_status,home_team,home_id,home_rank,home_record,home_score,away_team,away_id,away_rank,away_record,away_score,home_point_spread,home_win,num_ots,is_conference,is_neutral,is_postseason,tournament,game_day,game_time,game_loc,arena,arena_capacity,attendance,tv_network,referee_1,referee_2,referee_3
401817228,Final,Texas Longhorns,251,,0-1,60,Duke Blue Devils,150,6.0,1-0,75,,False,0,False,True,False,Dick Vitale Invitational presented by Belk,"November 04, 2025",05:45 PM PST,"Charlotte, NC",Spectrum Center,,12435.0,ESPN,Doug Shows,Tony Padilla,Roger Ayers
401817229,Final,Western Carolina Catamounts,2717,,0-2,54,Duke Blue Devils,150,6.0,2-0,95,,False,0,False,False,False,,"November 08, 2025",10:30 AM PST,"Durham, NC",Cameron Indoor Stadium,,9314.0,The CW Network,Ron Groover,Justin Porterfield,Clare Aubry
401817230,Final,Duke Blue Devils,150,4.0,3-0,114,Army Black Knights,349,,1-2,59,,True,0,False,False,False,,"November 11, 2025",04:00 PM PST,"West Point, NY",Christl Arena,,5326.0,CBSSN,Jeffrey Anderson,Greg Evans,Adam Flore
401817231,Final,Indiana State Sycamores,282,,2-2,62,Duke Blue Devils,150,4.0,4-0,100,,False,0,False,False,False,,"November 14, 2025",04:00 PM PST,"Durham, NC",Cameron Indoor Stadium,,0.0,ACC Network,Clarence Armstrong,Jemel Spearman,Jeff  Pon
401817232,Final,Kansas Jayhawks,2305,24.0,3-2,66,Duke Blue Devils,150,5.0,5-0,78,,False,0,False,True,False,State Farm Champions Classic,"November 18, 2025",06:00 PM PST,"New York, NY",Madison Square Garden,,19327.0,ESPN,Bert Smith,John Gaffney,Kipp Kissinger
401813377,Final,Niagara Purple Eagles,315,,2-3,42,Duke Blue Devils,150,5.0,6-0,100,,False,0,False,False,False,Brotherhood Run,"November 21, 2025",04:00 PM PST,"Durham, NC",Cameron Indoor Stadium,,9314.0,ACC Network,Lee Cassell,Isaac Barnett,Kellen Miliner
401817233,Final,Howard Bison,47,,3-4,56,Duke Blue Devils,150,5.0,7-0,93,,False,0,False,False,False,Brotherhood Run,"November 23, 2025",01:00 PM PST,"Durham, NC",Cameron Indoor Stadium,,9314.0,ACC Network,Roger Ayers,Clarence Armstrong,Adam Flore
401817234,Final,Duke Blue Devils,150,4.0,8-0,80,Arkansas Razorbacks,8,22.0,5-2,71,+12.5,True,0,False,True,False,CBS Sports Thanksgiving Classic,"November 27, 2025",05:00 PM PST,"Chicago, IL",United Center,,10766.0,CBS,Ron Groover,Steven Anderson,Courtney Green
401806364,Final,Florida Gators,57,15.0,5-3,66,Duke Blue Devils,150,4.0,9-0,67,-9.5,False,0,False,False,False,ACC/SEC Men's Challenge,"December 02, 2025",04:30 PM PST,"Durham, NC",Cameron Indoor Stadium,,9314.0,ESPN,Brian  O'Connell,Tony Chiazza,Roger Ayers
401817235,Final,Duke Blue Devils,150,4.0,10-0,66,Michigan State Spartans,127,7.0,8-1,60,+1.5,True,0,False,False,False,,"December 06, 2025",09:00 AM PST,"East Lansing, MI",Breslin Center,,14797.0,FOX,Bert Smith,Keith Kimble,Brian Dorsey
