rank,mae,std,hidden_dims,lr,weight_decay,batch_size,huber_delta
70,10.861137,1.2026175,"[96, 48, 24]",0.0005,0.0001,32,1.5
71,10.8371725,1.2519457,"[160, 80, 40]",0.002,1e-06,32,1.0
72,10.828379,1.2707231,"[128, 64, 32, 16]",0.0005,1e-05,32,1.0
73,10.828438,1.2751018,"[160, 80, 40]",0.0005,1e-05,32,1.0
74,10.840066,1.2567619,"[96, 48, 24]",0.001,1e-05,32,1.0
75,10.76797,1.4015081,"[160, 80, 40]",0.002,0.0001,64,1.5
76,10.846465,1.2481363,"[128, 64, 32, 16]",0.002,0.0001,64,1.0
77,10.910006,1.1257348,"[96, 48, 24]",0.0005,1e-05,64,1.5
78,10.809353,1.3289963,"[160, 80, 40]",0.002,1e-06,32,1.5
79,10.83593,1.2816393,"[128, 64, 32]",0.001,1e-06,64,1.0
80,10.854118,1.2573614,"[96, 48, 24]",0.002,1e-06,64,1.5
81,10.9013195,1.1647015,"[160, 80, 40]",0.002,1e-06,64,1.5
82,10.89329,1.1833146,"[96, 48, 24]",0.001,0.0001,32,1.0
83,10.861391,1.2526189,"[96, 48, 24]",0.001,1e-06,32,1.0
84,10.915674,1.1472628,"[160, 80, 40]",0.0005,0.0001,32,1.0
85,10.882667,1.2141246,"[128, 64, 32]",0.002,1e-05,64,1.0
86,10.902832,1.1749014,"[128, 64, 32]",0.0005,1e-05,64,1.0
87,10.879203,1.2280003,"[128, 64, 32]",0.002,1e-06,64,1.0
88,10.922037,1.1660404,"[160, 80, 40]",0.002,1e-06,64,1.0
89,10.866197,1.2828094,"[128, 64, 32]",0.001,1e-06,32,1.5
90,10.896909,1.2425628,"[96, 48, 24]",0.002,1e-05,32,1.0
91,10.872076,1.2999849,"[160, 80, 40]",0.002,0.0001,32,1.5
92,10.858908,1.3305827,"[128, 64, 32]",0.001,1e-05,64,1.0
93,10.923976,1.2142498,"[128, 64, 32]",0.0005,1e-06,32,1.0
94,10.876419,1.313049,"[128, 64, 32]",0.001,1e-06,64,1.5
95,10.90305,1.266655,"[128, 64, 32, 16]",0.002,1e-06,32,1.5
96,10.999825,1.088026,"[96, 48, 24]",0.0005,1e-06,64,1.0
97,10.885439,1.319153,"[128, 64, 32]",0.002,1e-06,32,1.0
98,10.877467,1.3397064,"[128, 64, 32, 16]",0.001,1e-05,32,1.5
99,10.864666,1.3655025,"[128, 64, 32, 16]",0.001,0.0001,32,1.0
100,10.922877,1.2520565,"[128, 64, 32, 16]",0.002,1e-06,64,1.5
101,10.902975,1.2941223,"[160, 80, 40]",0.0005,0.0001,64,1.5
102,10.918193,1.2677116,"[128, 64, 32]",0.0005,1e-05,64,1.5
103,10.870087,1.3671625,"[96, 48, 24]",0.0005,1e-05,32,1.0
104,10.929406,1.2497674,"[128, 64, 32, 16]",0.002,1e-05,64,1.5
105,10.964276,1.181793,"[128, 64, 32, 16]",0.0005,1e-05,64,1.0
106,10.922667,1.2705657,"[160, 80, 40]",0.002,1e-05,32,1.5
107,10.918075,1.2809502,"[96, 48, 24]",0.0005,1e-06,32,1.5
108,10.916884,1.2882221,"[128, 64, 32, 16]",0.002,0.0001,32,1.0
109,10.9980755,1.1339086,"[96, 48, 24]",0.0005,1e-05,64,1.0
110,11.010847,1.1158305,"[128, 64, 32, 16]",0.001,1e-05,64,1.5
111,10.937923,1.2647669,"[96, 48, 24]",0.001,0.0001,64,1.5
112,10.939791,1.2627162,"[160, 80, 40]",0.002,1e-05,32,1.0
113,10.9777775,1.2010787,"[128, 64, 32, 16]",0.001,1e-06,32,1.5
114,10.966862,1.2308838,"[96, 48, 24]",0.002,0.0001,32,1.0
115,10.9339905,1.301065,"[96, 48, 24]",0.0005,1e-05,32,1.5
116,11.053314,1.0802406,"[128, 64, 32, 16]",0.0005,1e-06,64,1.5
117,10.929987,1.3333973,"[96, 48, 24]",0.001,1e-06,32,1.5
118,10.969361,1.255027,"[96, 48, 24]",0.0005,0.0001,64,1.0
119,10.952566,1.2921708,"[96, 48, 24]",0.002,1e-06,32,1.5
120,10.984545,1.2324783,"[160, 80, 40]",0.002,1e-05,64,1.0
121,11.021078,1.1637094,"[128, 64, 32, 16]",0.0005,1e-05,64,1.5
122,10.962868,1.30045,"[128, 64, 32, 16]",0.001,0.0001,64,1.5
123,11.058374,1.1137452,"[128, 64, 32, 16]",0.0005,1e-05,32,1.5
124,10.937625,1.3557776,"[96, 48, 24]",0.002,0.0001,64,1.0
125,11.035977,1.1764354,"[128, 64, 32]",0.0005,0.0001,64,1.0
126,10.961781,1.3263108,"[96, 48, 24]",0.001,0.0001,32,1.5
127,11.097995,1.0597062,"[128, 64, 32, 16]",0.0005,0.0001,64,1.5
128,11.082838,1.1183939,"[128, 64, 32, 16]",0.0005,0.0001,64,1.0
129,11.00337,1.2790481,"[96, 48, 24]",0.001,1e-05,64,1.5
130,11.092127,1.1080935,"[128, 64, 32, 16]",0.0005,1e-06,32,1.0
