Feature Set,MAE,Std,Num Features
All Features,4.994659431564786,0.3715579548921727,24
Baseline,5.0011986466214635,0.37120621358888745,11
Baseline + Four Factors,5.017173813061338,0.37081437636171444,19
Baseline + Temporal,5.02525681776139,0.3726138997211126,16
