model,overall_mae,overall_std,blowout_mae,blowout_std,num_features
Baseline,4.79389687431616,0.22833330392469375,6.969779280490829,0.5059172903428536,11
Enhanced (Blowout Features),4.612810581680493,0.21328648411298595,6.646021982407198,0.42196184475901855,25
