Rk,Team,Eff,FTAR,FT%,FGAR,FG%,3PAR,3P%,MRAR,MR%,NPAR,NP%,PPSt,PPSC,SCC%,%3PA,%MRA,%NPA,Prox,AP%
1,Michigan (19-1),129.64,36.84,74.17,84.81,52.97,34.25,36.37,9.75,44.07,40.81,69.04,14.74,19.10,11.54,40.39,11.50,48.12,1.923,1.000
2,Duke (19-1),127.66,37.27,70.72,86.31,51.24,36.88,34.81,8.65,50.82,40.78,66.19,15.67,18.30,8.86,42.73,10.02,47.25,1.955,0.997
3,Arizona (21-0),127.20,37.99,74.85,87.61,51.21,25.44,35.51,23.64,44.70,38.53,65.57,13.77,15.81,5.76,29.04,26.98,43.97,1.851,0.995
4,Illinois (17-3),132.35,32.20,79.89,93.45,47.93,45.47,37.47,15.93,43.89,32.06,64.78,7.56,13.98,6.27,48.65,17.04,34.30,2.144,0.992
5,Iowa State (18-2),125.36,34.73,68.98,88.24,50.08,32.52,40.04,19.85,40.35,35.87,64.56,18.91,19.36,9.74,36.85,22.49,40.66,1.962,0.989
6,Nebraska (20-1),125.41,25.67,76.17,89.76,49.58,44.69,37.72,12.67,41.32,32.40,69.17,13.62,15.02,6.48,49.79,14.12,36.10,2.137,0.986
7,Michigan State (19-2),122.30,33.65,72.91,87.26,49.22,31.82,37.27,22.93,40.53,32.51,67.04,12.01,18.69,8.93,36.47,26.27,37.26,1.992,0.984
8,Houston (17-2),124.47,27.67,75.72,96.52,45.92,40.72,36.50,28.42,37.77,27.37,68.41,17.55,17.04,6.80,42.19,29.45,28.36,2.138,0.981
9,Purdue (17-4),131.47,26.81,73.63,92.77,52.84,34.45,39.76,26.34,48.22,31.97,70.73,13.77,17.38,8.85,37.14,28.39,34.47,2.027,0.978
10,Vanderbilt (18-3),127.07,31.22,75.99,88.17,50.06,38.82,38.82,15.81,42.01,33.54,66.87,18.82,13.79,6.84,44.03,17.93,38.04,2.060,0.975
11,Virginia (17-3),127.11,32.02,72.99,90.36,48.78,41.30,37.73,15.50,47.32,33.56,63.06,12.57,18.16,7.84,45.70,17.16,37.14,2.086,0.973
12,Gonzaga (21-1),121.76,28.59,69.47,89.40,51.07,29.20,36.26,24.06,47.49,36.14,65.41,15.47,15.22,8.69,32.66,26.92,40.42,1.922,0.970
13,Florida (14-6),125.44,37.67,70.70,91.46,47.94,36.98,30.06,13.91,39.90,40.57,67.00,12.18,24.07,10.05,40.44,15.21,44.35,1.961,0.967
14,Iowa (14-5),123.56,31.52,76.92,84.98,51.12,32.50,38.22,16.16,47.20,36.32,64.42,12.23,13.24,5.48,38.24,19.02,42.74,1.955,0.964
15,Alabama (14-6),129.60,33.39,75.35,91.37,47.98,46.35,36.17,10.86,48.61,34.16,63.81,13.89,16.43,7.27,50.72,11.88,37.39,2.133,0.959
16,Arkansas (16-5),129.21,31.46,75.82,88.99,52.09,31.80,39.79,19.58,40.34,37.61,68.60,16.91,16.86,8.60,35.73,22.01,42.26,1.935,0.959
17,UConn (20-1),122.00,30.89,69.97,89.30,49.16,35.15,35.84,17.85,42.49,36.29,65.34,14.35,19.20,7.34,39.37,19.99,40.64,1.987,0.959
18,BYU (17-3),126.11,32.94,74.94,90.53,48.49,37.47,36.35,20.80,39.61,32.27,68.33,13.46,16.09,7.89,41.38,22.97,35.64,2.057,0.953
19,Saint Louis (20-1),124.46,28.16,73.74,85.99,50.82,39.17,41.56,7.98,39.00,38.85,62.60,12.98,13.38,5.35,45.55,9.28,45.17,2.004,0.951
20,Texas Tech (16-4),127.47,26.54,71.38,92.41,49.51,40.89,41.64,23.77,47.45,27.75,62.85,12.25,17.15,6.94,44.25,25.72,30.03,2.142,0.948
21,Kansas (15-5),123.05,31.48,77.47,87.55,49.49,32.10,37.38,20.77,40.26,34.68,66.22,9.64,14.57,6.98,36.67,23.72,39.61,1.971,0.945
22,Louisville (14-6),125.82,29.80,76.32,88.66,48.33,46.41,37.46,8.13,43.08,34.13,64.34,15.24,16.11,5.86,52.34,9.17,38.49,2.139,0.942
23,St. John's (15-5),122.30,38.04,72.86,87.69,47.32,31.77,36.49,16.95,40.87,38.98,58.94,18.08,21.61,9.50,36.23,19.33,44.45,1.918,0.940
24,Tennessee (13-6),123.00,36.11,68.26,85.96,50.51,30.24,38.04,15.34,44.27,40.38,62.23,15.13,17.48,8.07,35.18,17.85,46.97,1.882,0.937
25,Indiana (14-7),125.70,32.73,79.95,86.84,48.12,43.30,36.85,10.33,45.69,33.22,63.58,10.94,14.99,5.91,49.86,11.89,38.25,2.116,0.934
26,North Carolina (16-4),125.28,34.74,67.21,86.95,50.91,34.92,38.37,15.92,43.57,36.11,66.27,9.75,18.11,10.39,40.16,18.31,41.53,1.986,0.931
27,Auburn (13-7),126.42,40.40,74.79,87.09,48.94,33.16,33.03,14.52,43.98,39.42,64.15,15.69,19.06,7.93,38.07,16.67,45.26,1.928,0.929
28,Texas A&M (16-4),123.80,31.94,75.38,88.21,48.03,40.11,37.39,12.10,42.18,35.99,61.84,18.94,14.69,5.43,45.47,13.72,40.81,2.047,0.926
29,Clemson (17-4),118.36,31.02,73.15,86.18,48.08,36.16,35.38,15.73,47.60,34.30,61.68,11.40,14.04,6.56,41.95,18.25,39.80,2.022,0.923
30,Wisconsin (14-6),123.93,34.49,78.03,87.36,47.22,41.92,34.61,11.76,44.33,33.69,63.92,12.23,14.76,6.63,47.98,13.46,38.56,2.094,0.920
31,New Mexico (17-4),119.21,29.95,73.70,89.99,46.38,37.63,36.31,14.09,40.76,38.27,58.36,15.00,15.50,6.84,41.81,15.66,42.53,1.993,0.918
32,Saint Mary's (19-3),123.03,32.02,82.30,87.94,47.76,32.15,39.41,21.32,38.81,34.48,61.09,9.82,17.16,6.74,36.55,24.24,39.21,1.973,0.915
