Rk,Team,Eff,FTAR,FT%,FGAR,FG%,3PAR,3P%,MRAR,MR%,NPAR,NP%,PPSt,PPSC,SCC%,%3PA,%MRA,%NPA,Prox,AP%
313,Grambling State (12-22),95.16,24.78,72.71,84.93,40.30,27.82,31.25,25.86,34.58,31.25,53.08,11.91,13.18,6.16,32.75,30.45,36.79,1.960,0.138
314,Morehead State (15-17),97.88,27.74,66.85,86.25,40.44,30.22,31.67,28.75,37.78,27.29,52.96,8.52,15.08,4.48,35.04,33.33,31.63,2.034,0.138
315,Lindenwood (16-17),97.91,28.56,68.99,87.16,40.09,30.33,27.44,20.78,34.42,36.05,54.01,13.17,17.20,7.01,34.80,23.84,41.37,1.934,0.135
316,Charleston So. (10-22),98.87,31.90,66.89,81.89,41.03,33.86,30.50,16.64,38.85,31.38,53.55,7.92,13.03,4.60,41.35,20.33,38.32,2.030,0.135
317,Utah Tech (7-26),100.64,25.32,70.41,85.42,41.81,34.36,33.10,21.37,35.54,29.69,56.41,10.05,13.91,5.47,40.23,25.01,34.76,2.055,0.129
318,Stonehill (15-17),102.84,24.70,72.32,85.81,41.82,37.70,35.07,14.45,27.05,33.66,55.72,9.45,10.72,3.54,43.94,16.84,39.22,2.047,0.127
319,NC Central (14-19),102.60,28.22,71.02,86.21,42.51,27.22,34.02,23.30,33.74,35.69,54.71,14.15,15.23,6.28,31.57,27.03,41.40,1.902,0.124
320,Holy Cross (13-19),102.50,20.33,71.51,85.86,42.99,38.03,37.16,25.69,38.94,22.15,57.71,7.47,9.07,3.52,44.29,29.92,25.79,2.185,0.118
321,Florida A&M (14-17),100.47,26.37,72.11,82.98,42.16,34.90,32.93,18.07,35.47,30.02,56.91,9.40,11.32,4.94,42.05,21.77,36.18,2.059,0.118
322,VMI (15-19),100.60,27.46,77.06,83.70,40.27,39.16,30.70,14.48,30.61,30.06,57.40,13.89,12.80,5.04,46.79,17.30,35.91,2.109,0.116
323,Rider (14-19),102.78,25.60,72.54,89.99,41.90,28.40,31.02,29.52,38.68,32.06,54.50,10.46,14.47,6.03,31.56,32.81,35.63,1.959,0.116
324,Air Force (4-28),98.20,25.28,61.87,82.15,42.68,36.91,33.69,16.40,36.58,28.84,57.66,8.62,9.54,3.91,44.93,19.96,35.11,2.098,0.110
325,Army (17-16),99.94,23.51,66.97,88.47,40.93,38.43,30.63,18.24,36.79,31.80,55.76,11.46,12.58,3.38,43.44,20.61,35.95,2.075,0.107
326,Binghamton (15-17),98.72,25.96,70.66,81.93,42.37,32.13,34.09,15.05,33.48,34.75,53.87,8.06,11.84,3.92,39.21,18.37,42.41,1.968,0.105
327,Alcorn State (11-21),97.54,23.98,71.37,88.10,41.30,24.22,31.61,32.55,35.84,31.34,54.46,11.65,11.27,4.67,27.49,36.94,35.57,1.919,0.102
328,Southern Utah (12-19),95.78,27.20,72.24,84.37,40.12,27.99,30.09,27.14,34.81,29.24,54.67,8.11,13.89,6.38,33.18,32.17,34.65,1.985,0.099
329,Morgan State (14-18),101.74,27.91,72.17,88.21,42.67,19.60,32.28,33.95,39.30,34.65,51.84,11.69,16.46,7.11,22.23,38.49,39.28,1.829,0.094
330,Green Bay (4-28),101.22,27.58,79.00,81.22,41.79,35.80,32.24,16.11,37.44,29.32,55.85,8.80,9.16,3.43,44.07,19.83,36.10,2.080,0.094
331,S. Indiana (10-20),100.29,23.35,73.94,87.27,41.53,29.95,35.16,26.66,33.33,30.66,54.90,10.77,11.49,3.98,34.32,30.56,35.13,1.992,0.091
332,Fairfield (12-20),97.91,22.29,74.18,90.01,39.23,34.47,31.21,25.56,31.60,29.97,54.94,12.04,13.73,4.37,38.30,28.40,33.30,2.050,0.091
333,Bellarmine (5-26),101.87,21.42,76.74,83.46,43.85,36.29,33.74,16.61,34.14,30.56,61.12,11.81,10.12,4.24,43.48,19.91,36.62,2.069,0.085
334,Detroit Mercy (8-24),96.20,24.40,72.54,88.14,39.70,27.43,31.08,34.49,39.48,26.22,49.00,9.40,16.28,6.21,31.12,39.13,29.74,2.014,0.083
335,Coast. Carolina (10-22),99.72,27.83,70.45,84.78,40.74,32.22,34.26,20.84,31.97,31.72,53.08,5.63,13.19,4.65,38.00,24.58,37.42,2.006,0.080
336,W. Carolina (8-22),95.06,21.30,72.53,86.99,38.61,40.68,30.55,16.78,33.74,29.53,52.48,7.74,12.69,4.51,46.77,19.29,33.95,2.128,0.077
337,Wagner (14-16),93.18,24.02,70.67,88.74,37.01,33.61,31.34,30.44,33.98,24.69,48.44,10.36,15.40,5.37,37.87,34.30,27.83,2.100,0.072
338,Mercyhurst (15-16),100.44,24.02,79.63,84.64,41.21,31.45,36.76,24.79,32.67,28.40,53.59,10.99,12.05,4.24,37.16,29.29,33.55,2.036,0.072
339,East Texas A&M (5-26),96.40,21.50,63.64,85.43,41.29,38.54,31.58,17.71,35.32,29.18,57.76,16.48,12.04,5.32,45.11,20.73,34.15,2.110,0.069
340,Stony Brook (8-24),101.45,26.15,73.75,86.00,40.85,33.95,35.08,26.00,35.59,26.05,53.63,8.36,14.96,6.56,39.47,30.24,30.29,2.092,0.066
341,W. Illinois (12-19),99.03,21.83,67.07,86.36,42.20,31.42,36.59,30.35,37.32,24.60,55.38,7.94,11.03,4.05,36.38,35.14,28.48,2.079,0.066
342,NC A&T (7-25),96.63,26.26,68.21,86.60,40.02,31.14,30.23,23.17,31.53,32.29,55.53,9.22,13.37,4.56,35.95,26.76,37.29,1.987,0.061
343,Buffalo (9-22),96.56,24.79,72.07,83.55,40.64,35.67,30.22,13.60,30.25,34.28,55.61,10.42,12.58,4.55,42.69,16.27,41.03,2.017,0.058
344,N. Illinois (6-25),94.59,25.34,70.50,83.81,38.01,39.90,32.60,18.76,30.02,25.16,52.56,10.13,9.28,3.09,47.60,22.38,30.02,2.176,0.055
345,Stetson (8-24),98.75,26.65,73.33,82.17,42.15,31.23,31.80,21.86,37.74,29.09,56.59,9.91,11.43,6.31,38.00,26.60,35.40,2.026,0.052
346,USC Upstate (6-26),96.98,23.37,67.88,83.88,42.50,32.38,30.34,21.53,38.39,29.96,58.59,13.19,11.07,4.71,38.61,25.67,35.72,2.029,0.050
347,West Georgia (6-25),97.51,26.14,68.59,86.36,41.73,26.56,28.25,25.50,35.53,34.30,56.79,12.40,13.87,7.51,30.75,29.53,39.72,1.910,0.044
348,UL Monroe (7-25),96.54,25.01,71.69,87.57,39.42,28.84,33.18,30.38,30.99,28.35,54.79,13.26,16.29,6.58,32.94,34.69,32.38,2.006,0.044
349,New Orleans (4-27),99.88,27.70,67.28,87.86,41.61,26.87,30.28,23.07,32.68,37.92,55.06,13.70,15.58,5.15,30.58,26.26,43.16,1.874,0.041
350,Sacramento St. (7-25),95.57,22.33,67.99,86.00,40.00,38.19,30.37,15.90,32.32,31.91,55.34,8.35,14.54,5.41,44.41,18.48,37.11,2.073,0.041
351,Cent. Arkansas (9-24),97.20,24.12,72.04,85.89,39.55,40.57,29.28,18.97,34.72,26.35,58.85,10.96,12.21,4.38,47.24,22.09,30.68,2.166,0.036
352,Le Moyne (9-23),101.17,27.90,70.64,81.87,43.05,33.16,33.07,18.75,37.75,29.96,57.43,12.56,12.07,4.64,40.50,22.90,36.59,2.039,0.033
353,NJIT (6-25),94.58,23.41,73.77,87.33,38.17,34.86,30.54,24.95,34.76,27.52,50.92,7.63,12.95,4.64,39.92,28.56,31.52,2.084,0.030
354,Canisius (3-28),98.72,18.64,77.09,83.75,42.74,34.86,36.63,24.15,37.41,24.73,56.55,11.70,7.76,2.86,41.63,28.84,29.53,2.121,0.028
355,PV A&M (5-27),97.89,25.08,68.87,86.12,41.98,27.35,30.36,23.71,35.81,35.06,55.22,11.99,11.18,5.02,31.75,27.53,40.71,1.910,0.025
356,UNH (8-24),93.21,21.90,66.26,86.43,38.68,37.63,31.43,24.93,34.60,23.87,54.39,10.36,10.02,2.74,43.54,28.84,27.62,2.159,0.022
357,CSU Fullerton (6-26),91.25,25.94,73.02,81.54,39.71,27.71,27.25,19.94,33.03,33.89,53.83,9.16,12.40,4.04,33.98,24.46,41.56,1.924,0.019
358,UMES (6-25),93.80,25.20,68.60,84.52,39.28,30.55,33.12,26.94,35.06,27.03,50.44,10.07,13.68,5.74,36.15,31.87,31.98,2.042,0.017
359,Chicago State (4-28),91.14,21.17,70.86,85.60,38.20,34.53,31.11,22.60,32.70,28.47,51.17,13.63,11.55,3.61,40.34,26.40,33.26,2.071,0.014
360,Alabama A&M (10-22),92.05,26.87,66.67,83.80,38.14,32.88,31.07,21.53,30.98,29.40,51.28,13.16,14.33,5.61,39.23,25.69,35.08,2.041,0.011
361,The Citadel (5-25),93.09,24.79,62.66,84.42,39.52,37.06,29.24,17.01,34.20,30.35,55.05,7.81,13.54,5.45,43.90,20.15,35.96,2.079,0.008
362,Coppin State (6-24),88.07,25.99,68.02,82.46,38.00,26.57,29.06,24.44,30.85,31.46,51.10,13.23,11.99,4.10,32.22,29.64,38.14,1.941,0.006
363,AR-Pine Bluff (6-25),93.83,24.70,58.77,83.95,41.99,29.26,30.15,17.53,36.70,37.16,53.80,9.70,11.47,4.39,34.85,20.88,44.26,1.906,0.003
364,Miss. Valley St. (3-28),81.16,19.84,66.56,79.24,38.57,22.47,30.43,30.41,34.00,26.36,50.77,8.51,9.97,4.64,28.36,38.37,33.27,1.951,0.000
