game_id,team,player,player_id,position,starter,min,fgm,fga,2pm,2pa,3pm,3pa,ftm,fta,pts,reb,ast,to,stl,blk,oreb,dreb,pf
401826084,McNeese Cowboys,J. Garcia,4701125,G,True,27.0,3,8,3,5,0,3,0,1,6,1,1,1,0,1,0,1,4
401826084,McNeese Cowboys,J. Fredson-Cole,5238222,F,False,22.0,2,6,2,3,0,3,2,2,6,0,0,2,2,0,0,0,1
401826084,McNeese Cowboys,Y. Ndjonga,5175027,F,False,8.0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,3,1,1
401826084,McNeese Cowboys,J. Colbert,4433273,F,False,7.0,0,2,0,2,0,0,0,0,0,2,0,0,0,1,2,0,5
401826084,McNeese Cowboys,T. Archie,5175726,G,False,23.0,4,14,2,8,2,6,2,2,12,1,1,2,1,0,0,1,2
401826084,McNeese Cowboys,DJ Richards Jr.,5106843,G,False,24.0,4,12,1,3,3,9,0,0,11,1,0,0,0,0,0,1,3
401826083,Oakland Golden Grizzlies,I. Garrett,5313714,F,True,33.0,8,10,7,9,1,1,3,3,20,1,1,3,1,0,0,1,4
401826083,Oakland Golden Grizzlies,T. Naivalurua,5177207,F,True,34.0,6,16,3,9,3,7,3,4,18,5,0,1,2,0,1,4,1
401826083,Oakland Golden Grizzlies,Z. Wells,5315124,G,True,32.0,5,13,4,10,1,3,3,4,14,6,2,0,1,0,1,5,1
401826083,Oakland Golden Grizzlies,N. Mashhour,5241679,G,True,22.0,2,6,0,1,2,5,2,2,8,3,2,0,1,0,2,1,1
401826083,Oakland Golden Grizzlies,B. Robinson,5107377,G,True,36.0,3,8,0,2,3,6,2,2,11,2,5,1,1,0,0,2,0
401826083,Oakland Golden Grizzlies,N. Deer,5240688,F,False,11.0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
401826083,Oakland Golden Grizzlies,K. Thurmon,5313713,G,False,15.0,1,5,1,5,0,0,0,0,2,0,0,3,0,0,0,0,2
401826083,Oakland Golden Grizzlies,B. White II,5313712,G,False,17.0,2,5,1,1,1,4,0,0,5,1,0,1,0,0,0,1,2
401826083,Michigan,M. Johnson Jr.,4873153,F,True,20.0,10,11,10,10,0,1,4,4,24,3,3,1,0,1,1,2,0
401826083,Michigan,A. Mara,5174983,C,True,20.0,6,9,6,8,0,1,0,0,12,12,2,0,0,5,1,11,2
401826083,Michigan,R. Gayle Jr.,5105836,G,True,21.0,5,7,4,4,1,3,0,0,11,4,1,2,1,0,0,4,0
401826083,Michigan,E. Cadeau,4869764,G,True,25.0,2,7,1,3,1,4,0,0,5,5,14,1,0,0,1,4,2
401826083,Michigan,N. Burnett,4433138,G,True,20.0,5,9,1,2,4,7,0,0,14,2,2,1,0,0,0,2,2
401826083,Michigan,O. Goodman,5244505,F,False,8.0,1,4,1,2,0,2,1,2,3,1,1,0,0,0,0,1,1
401826083,Michigan,Y. Lendeborg,5175737,F,False,22.0,4,5,2,2,2,3,2,2,12,4,3,1,0,1,1,3,1
401826083,Michigan,W. Tschetter,4684596,F,False,21.0,4,6,0,1,4,5,4,4,16,4,0,1,0,0,0,4,2
401826083,Michigan,M. Kordel,5311988,C,False,8.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
401826083,Michigan,C. May,5106648,G,False,7.0,1,2,0,1,1,1,0,0,3,0,1,1,1,0,0,0,3
401826083,Michigan,T. McKenney,5041954,G,False,28.0,7,10,1,2,6,8,1,1,21,2,4,0,0,0,0,2,2
401825481,Michigan,Y. Lendeborg,5175737,F,True,35.0,6,13,5,9,1,4,13,15,26,12,1,0,0,2,6,6,3
401825481,Michigan,M. Johnson Jr.,4873153,F,True,29.0,4,7,4,7,0,0,4,4,12,4,3,2,1,2,1,3,3
401825481,Michigan,A. Mara,5174983,C,True,21.0,4,12,4,12,0,0,0,0,8,5,1,2,0,3,1,4,3
401825481,Michigan,E. Cadeau,4869764,G,True,30.0,5,8,2,3,3,5,4,5,17,3,6,2,0,0,0,3,3
401825481,Michigan,N. Burnett,4433138,G,True,13.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1
401825481,Michigan,W. Tschetter,4684596,F,False,17.0,1,3,0,1,1,2,2,2,5,0,0,1,0,0,0,0,2
401825481,Michigan,L.J. Cason,5214641,G,False,11.0,1,4,0,0,1,4,0,0,3,1,3,1,0,0,0,1,1
401825481,Michigan,R. Gayle Jr.,5105836,G,False,21.0,1,1,1,1,0,0,0,0,2,3,0,2,0,0,0,3,2
401825481,Michigan,T. McKenney,5041954,G,False,23.0,4,10,2,4,2,6,0,0,10,1,0,1,0,0,0,1,3
401825481,Michigan State Spartans,J. Kohler,5105815,F,True,36.0,4,13,2,6,2,7,2,2,12,5,1,1,0,1,3,2,1
401825481,Michigan State Spartans,C. Carr,4872740,F,True,34.0,3,8,3,5,0,3,4,6,10,7,0,1,1,1,1,6,2
401825481,Michigan State Spartans,C. Cooper,5105817,C,True,26.0,3,5,3,5,0,0,0,0,6,2,1,3,0,1,0,2,3
401825481,Michigan State Spartans,D. Ugochukwu,5060733,G,True,12.0,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,3
