team,off_efficiency,def_efficiency,wins,losses,ppg,opp_ppg,pace,power_rating,win_pct,momentum_win_streak,momentum_loss_streak,momentum_recent_win_pct,momentum_recent_avg_margin,momentum_games_played,blowout_avg_margin_victory,blowout_avg_margin_defeat,blowout_blowout_win_rate,blowout_blowout_loss_rate,blowout_close_game_win_rate,home_court_advantage,hasla_offensive_eff,hasla_rank,player_star_total_ppg,player_star_avg_efficiency,player_star_ppg_1,player_star_ppg_2,player_star_ppg_3,player_scoring_concentration,player_top_scorer_share,player_balanced_scoring,player_bench_ppg,player_bench_depth_score,player_bench_contributors,player_key_player_ast_tov,player_key_player_reb_pg,player_key_player_usage
Michigan,126.89026980461296,89.99809941384467,19.0,1.0,88.82318886322906,62.99866958969127,70.0,36.892170390768285,0.95,0,2,0.4,-6.8,183,14.77570093457944,-10.25,0.2513661202185792,0.1092896174863388,0.4565217391304347,10.0,129.72,1.0,39.26086956521739,0.3938774484914362,14.608695652173912,13.565217391304348,11.08695652173913,0.1060977394558837,0.1549605040315865,0.8939022605441163,69.14323671497584,60.40026570048309,6,1.3245614035087718,7.159420289855073,0.3971428571428571
Duke,124.99509370656408,93.86901314622082,19.0,1.0,87.49656559459486,65.70830920235457,70.0,31.126080560343254,0.95,5,0,1.0,30.4,184,19.0625,-7.7,0.4402173913043478,0.0326086956521739,0.4736842105263157,10.0,127.72,2.0,49.93333333333334,0.3786585481443494,23.566666666666663,15.266666666666667,11.1,0.1542993216490431,0.2765624529834802,0.8457006783509569,37.712820512820514,36.39897435897436,5,1.4383561643835616,6.244444444444444,0.5390758699372504
Virginia,125.7441893052886,98.16043143718252,17.0,3.0,88.02093251370202,68.71230200602776,70.0,27.583757868106076,0.85,1,0,0.6,2.2,180,12.107438016528926,-12.016949152542374,0.2,0.1222222222222222,0.6923076923076923,10.0,125.88,14.0,41.63333333333333,0.311233074548321,17.433333333333334,13.7,10.5,0.121078045026451,0.1993649297986603,0.878921954973549,43.61099978452919,40.52769984917043,5,1.0,4.866666666666667,0.4954227248249865
Louisville,125.2459946513662,98.83068567058793,14.0,6.0,87.67219625595634,69.18147996941154,70.0,26.41530898077828,0.7,5,0,1.0,12.2,175,13.96551724137931,-13.715909090909092,0.2057142857142857,0.1942857142857142,0.6071428571428571,9.330344827586206,125.33,18.0,47.016666666666666,0.2866083907491328,19.0,16.25,11.766666666666667,0.1205096853056474,0.1941523402708438,0.8794903146943526,39.77566566856627,33.84296596799639,3,1.5737704918032789,3.695634920634921,0.4812030075187969
Clemson,116.93672694655729,94.6257072705002,17.0,4.0,81.85570886259009,66.23799508935014,70.0,22.31101967605709,0.8095238095238095,5,0,1.0,13.0,181,13.83898305084746,-9.174603174603174,0.2541436464088398,0.0773480662983425,0.4791666666666667,5.529411764705882,117.33,34.0,33.38709677419355,0.3432554252832159,12.225806451612904,10.903225806451612,10.258064516129032,0.107885635306199,0.151319218782925,0.8921143646938009,49.181899641577054,46.42732974910393,6,1.2173913043478262,4.268817204301075,0.4259259259259259
NC State,121.48726173382414,99.26293209442552,15.0,6.0,85.0410832136769,69.48405246609786,70.0,22.22432963939862,0.7142857142857143,0,1,0.4,-4.2,183,13.697916666666666,-10.06896551724138,0.2131147540983606,0.0983606557377049,0.4666666666666667,9.592705167173252,124.24,30.0,44.66559139784946,0.3176015280168784,16.0,14.633333333333333,14.03225806451613,0.1042139905053193,0.1438710192441112,0.8957860094946807,39.03330316636769,35.32331221645738,4,2.2158273381294964,4.175985663082437,0.3512221041445271
North Carolina,122.8323986295261,101.62305118021264,16.0,4.0,85.98267904066826,71.13613582614884,70.0,21.209347449313455,0.8,1,0,0.8,12.6,187,13.932773109243698,-9.058823529411764,0.2620320855614973,0.0641711229946524,0.4222222222222222,9.76625386996904,125.16,25.0,51.45238095238096,0.3690667842493894,20.1,16.733333333333334,14.61904761904762,0.1323105210774641,0.2179605038223243,0.8676894789225359,40.76616161616162,34.53631313131313,3,1.539568345323741,7.48888888888889,0.4926027397260274
SMU,124.61130473731922,104.19492148362156,15.0,5.0,87.22791331612345,72.93644503853508,70.0,20.41638325369766,0.75,0,1,0.4,-3.2,169,14.759615384615383,-10.553846153846154,0.2603550295857988,0.1183431952662721,0.5,10.0,123.41,42.0,49.803320561941256,0.3248798118100689,19.14814814814815,16.310344827586206,14.344827586206897,0.1448332287689782,0.2147252970359373,0.8551667712310218,18.302806061653612,14.811964243157528,1,1.9508196721311477,4.761600681140911,0.5756395995550612
Ohio State,122.19526836532744,103.48503670432248,14.0,6.0,85.5366878557292,72.43952569302573,70.0,18.71023166100495,0.7,0,0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,3.5,125.23,39.0,48.03333333333333,0.3296925486012111,19.08,15.12,13.833333333333334,0.1456585524848097,0.222502891303485,0.8543414475151903,16.55502801120448,13.588519607843136,1,1.6050420168067228,4.459444444444444,0.5772413793103448
Miami,118.00615459955394,100.79282904609812,17.0,4.0,82.60430821968775,70.55498033226868,70.0,17.213325553455817,0.8095238095238095,0,0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,3.5,120.72,47.0,50.54838709677419,0.365389030514585,19.64516129032258,16.322580645161292,14.580645161290322,0.1380510143039695,0.2164077959766496,0.8619489856960305,22.089654968687228,19.462758478081057,2,1.497584541062802,4.774193548387097,0.567907995618839
